Date,Tourists,Year,Month,No_of_flight_bookings,No_of_hotel_booked,Tourism_in_Kerala,kerala_tourism_package,Tourist_places,Travel,Food_Drink,Flights_Kerala,Trains_Kerala,Rain,T_Max,T_Min,kerala_tourist_hotels
01-01-2010,818356,2010,1,2991,2123306.25,87,67,10,51,78,0,35,6.8313,29.35,15.42,83
01-02-2010,721201,2010,2,2812,1861236,83,78,18,44,72,0,35,20.1979,31.79,16.11,64
01-03-2010,719944,2010,3,3136,1797776.875,93,50,9,47,66,0,90,66.8573,33.31,18.42,58
01-04-2010,735432,2010,4,2668,1787449.625,95,97,9,49,65,0,100,94.4786,33.71,20.62,68
01-05-2010,803431,2010,5,2518,1795854.375,90,69,0,54,64,0,56,112.6957,33.06,19.15,100
01-06-2010,639640,2010,6,2403,1605509.25,87,43,17,49,64,0,59,604.811,31.8,19.47,93
01-07-2010,632523,2010,7,3153,1664644.125,100,100,14,53,68,0,26,735.4057,30.12,18.91,92
01-08-2010,705455,2010,8,3322,1703256.75,87,47,10,59,72,0,30,395.2997,29.24,19.26,83
01-09-2010,698762,2010,9,3491,1904572.125,85,72,9,57,64,0,34,250.6998,29.15,19.34,97
01-10-2010,886029,2010,10,3660,2302128,81,56,7,54,62,73,35,399.7565,29.16,18.92,87
01-11-2010,882353,2010,11,3829,2459636.75,57,52,8,50,71,100,50,345.4486,28.38,17.56,61
01-12-2010,1011214,2010,12,3998,2711705.25,59,64,14,52,72,0,53,27.9159,28.13,15.84,91
01-01-2011,872030,2011,1,3305,2268088,50,48,10,50,67,0,34,4.9883,29.13,15.22,57
01-02-2011,770512,2011,2,3157,2178002.5,46,51,9,44,63,91,47,69.2702,30.15,14.43,42
01-03-2011,753599,2011,3,3479,2030245.5,41,51,7,40,65,0,38,15.2515,31.83,16.63,57
01-04-2011,779712,2011,4,2971,1969561.875,49,48,12,47,68,0,60,75.8709,31.92,19.37,44
01-05-2011,853926,2011,5,2805,2083776.25,53,79,12,47,58,34,53,56.6954,31.77,19.41,71
01-06-2011,680654,2011,6,2654,1767006,55,65,13,50,61,0,34,539.8421,29.35,19.42,64
01-07-2011,684737,2011,7,3475,1823493.75,59,89,15,50,65,0,48,303.1778,28.8,19.06,73
01-08-2011,776193,2011,8,3644,1942367,58,57,12,50,67,0,41,401.7025,28.7,19.3,57
